"speciesid","gr","count"
369100,,49
209383,actinopterygii,154
869885,annelida,1
263941,malacostraca,2
289351,cnidaria,6
513041,,5
291609,,2
141823,gastropoda,21
533026,gastropoda,96
328275,annelida,1
458905,,2
140616,gastropoda,196
895535,,2
374029,,13829
104739,,144
1305191,annelida,1
608083,annelida,51
291571,,3
427928,,5
127097,actinopterygii,9
591980,gastropoda,4
274412,actinopterygii,2
103561,,2
394983,,19
283008,actinopterygii,4
386299,,5
368993,,55
282388,elasmobranchii,140
420326,gastropoda,64
477910,malacostraca,2
122543,,52
113857,,21
109866,,1
592915,cnidaria,102
213418,,30
242054,,16
512994,,1
237279,malacostraca,4
250705,,18
181896,malacostraca,1
117850,cnidaria,8
279835,elasmobranchii,47
371676,,17
430571,gastropoda,23
219385,actinopterygii,24
712437,actinopterygii,20
288352,cnidaria,1
207146,cnidaria,958
239536,,2
856348,cnidaria,11
689277,gastropoda,451
421380,,24
251096,,1
465719,,3
367543,,1
133641,,1
334520,annelida,117
282416,actinopterygii,5
164257,,3
372431,,7
342214,,10
331973,annelida,11
373033,,2
423564,gastropoda,3
624393,,9
240164,,2
444335,malacostraca,71
214209,,6
333217,annelida,6
273143,actinopterygii,2
419991,gastropoda,2
710137,,1
255837,malacostraca,2
835080,actinopterygii,1
439000,,2
367197,actinopterygii,201
998046,annelida,1
510398,gastropoda,2
512216,malacostraca,11
288278,cnidaria,4
737986,gastropoda,4
440295,malacostraca,33
440289,malacostraca,100
247898,malacostraca,4
101926,malacostraca,65
373234,,12
246548,malacostraca,5
126725,actinopterygii,127
364551,malacostraca,10
227962,,2
426740,,6
433811,gastropoda,23
890129,malacostraca,2
289844,cnidaria,105
109336,,8
591588,gastropoda,12
118234,malacostraca,13
121092,,2
114738,,4
155098,annelida,589
126934,actinopterygii,45
737793,gastropoda,1
219703,actinopterygii,37
591352,gastropoda,143
342720,,5
170433,,2
277153,actinopterygii,5
477905,malacostraca,29
290868,cnidaria,5
256651,malacostraca,59
110600,malacostraca,4
536422,gastropoda,6
419592,gastropoda,30
532776,gastropoda,14
388946,,6
421342,,4
533423,,4
256466,malacostraca,9
113110,,6012
359749,,3
567234,gastropoda,201
234932,,5
879792,annelida,4
555945,,1
237239,malacostraca,9
514478,malacostraca,20
276647,actinopterygii,16
118538,malacostraca,2
246322,malacostraca,1586
866499,annelida,1
719436,gastropoda,16
532957,gastropoda,1
126480,actinopterygii,179
534476,,8
460041,,1
471923,,21
901381,,2
507273,,68
279747,actinopterygii,14
273850,actinopterygii,20
831501,gastropoda,3
366451,,1
288354,cnidaria,3
582366,,4
107502,malacostraca,1801
999933,,1
781391,,8
576683,,59
366559,malacostraca,1
368000,,3
168115,,3
240456,annelida,23
752002,,48
148169,,6
408193,gastropoda,26
396653,gastropoda,50
250544,,7
142803,,5
142613,,2
423059,malacostraca,4
126459,actinopterygii,778
213176,actinopterygii,15
592385,gastropoda,31
374709,,4
1052582,,4
427390,,2
283982,cnidaria,45
1259136,,1
467481,,2
164609,,20
448701,,4
276104,actinopterygii,11
280386,actinopterygii,176
387421,,20
840857,,3
275666,actinopterygii,5
835191,actinopterygii,4
117328,cnidaria,288
272919,actinopterygii,1152
592320,gastropoda,30
240461,,1
849672,,10
128267,,1
513238,,1
414341,,37
607531,malacostraca,4
461242,,19
712519,actinopterygii,13
281813,actinopterygii,45
987145,,91
814803,,2
475945,annelida,18
172092,,3
494862,,2
130740,annelida,166
125134,,33
420430,gastropoda,5
255027,mammalia,1
477807,malacostraca,8
155371,annelida,1
598447,gastropoda,7
285830,cnidaria,14
207517,cnidaria,1440
113069,,272
470355,,15
255319,malacostraca,2
419067,,6
157657,,1
263528,malacostraca,6
250171,,12
480349,,1
1015879,annelida,1
156196,,139
159190,actinopterygii,524
343947,aves,1319
1040283,annelida,8
406056,,4
217951,actinopterygii,27
326944,annelida,1
219771,actinopterygii,26
720465,gastropoda,215
1033392,annelida,1
160678,,13
492307,gastropoda,3
475767,annelida,2
550193,malacostraca,1
130154,annelida,7
371628,,88
152984,,2
174431,,1
458937,,20
527063,,6
732603,,1
708918,malacostraca,1
515084,malacostraca,1
256322,malacostraca,1
117279,cnidaria,48
111180,,17
101237,,44
149318,,7936
372468,,31
410913,cnidaria,2
120779,,17
579508,,3
104418,,1
374389,,82
1048888,,17
1027952,,33
210440,malacostraca,72
850313,,4
456750,,2
957162,gastropoda,110
442058,malacostraca,35
213233,,128
273933,actinopterygii,4
535098,,1
352034,,1
277416,actinopterygii,101
719247,gastropoda,18
362039,,5
254301,annelida,31
265102,,3
230980,,9
114508,,1
131242,annelida,3241
505027,,31
250674,,61
431160,gastropoda,33
1347692,,1
419451,gastropoda,5
514518,malacostraca,96
1327670,,1
130158,annelida,120
814824,,19
172661,,18
128172,,1
136338,malacostraca,41
1349418,cnidaria,2
572290,gastropoda,36
420100,gastropoda,3
410299,annelida,4
573972,,77
137597,,43
597475,annelida,10
179693,,153
217632,elasmobranchii,633
250110,,5
724781,,36
232134,,4
171605,,2
441333,malacostraca,7
416977,,2
283979,cnidaria,2
104632,,42036
111318,,84
122071,,1
626025,,17
598855,annelida,11
256528,malacostraca,12
244237,,22
505297,,4
289973,cnidaria,4
473685,gastropoda,280
125029,,3
418097,,34
240161,,1
215497,gastropoda,9
367045,malacostraca,17
237339,malacostraca,3
241150,malacostraca,1
734530,annelida,194
231650,,4
344089,aves,26
848274,,1
763389,gastropoda,26
497357,,2
598688,gastropoda,3
471634,,5
293098,,1
888308,annelida,1
610183,,2
166278,,1
129755,annelida,18
241290,malacostraca,4
274071,actinopterygii,1
1048565,gastropoda,27
421070,annelida,35
361220,,4
362157,,2
344262,,176
257212,malacostraca,2
505893,,44
519007,,3
101047,cnidaria,18
712659,actinopterygii,6
144658,,10
445357,gastropoda,8
279490,actinopterygii,162
390192,annelida,2
596889,gastropoda,44
121247,,3
559256,,1
414243,,49
134202,,3
473673,gastropoda,8
550057,gastropoda,4
423336,,1
183252,malacostraca,47
528064,gastropoda,10
490021,,57
220925,,8
213250,,12
248123,,1
254997,mammalia,2747
409343,malacostraca,36
285375,cnidaria,3
460917,,2
174435,annelida,5
271368,elasmobranchii,6
209840,annelida,4
389081,gastropoda,4
456736,gastropoda,2
758262,cnidaria,2841
215891,,126
744688,annelida,57
160830,,896
175084,malacostraca,1
110219,,9948
159715,,1
431137,malacostraca,4
123945,,57
344727,,4
744184,malacostraca,35
398563,actinopterygii,4
145060,,2600
355633,,5
548610,malacostraca,3
712442,actinopterygii,97
224843,gastropoda,40
387697,gastropoda,7
236022,,5
288777,cnidaria,9
147831,,31
389789,malacostraca,3
580927,,3
256696,malacostraca,29
134555,,1
143152,,2
164302,,1
213522,,98
137481,annelida,249
398560,actinopterygii,20
373077,,2
271929,actinopterygii,3
994263,gastropoda,9
481680,,1
103876,,30
235976,,17
352152,,4
413276,,79
757312,,1
329084,annelida,8
471283,,63
428603,malacostraca,7
110566,malacostraca,199
182142,malacostraca,3
220901,,1556
115790,,1
280501,actinopterygii,2
719491,cnidaria,9
246608,,403
272892,actinopterygii,188
441352,malacostraca,177
1031280,gastropoda,7
456895,gastropoda,6
372355,,71
559375,,1
103984,,15
515606,malacostraca,9
905103,,15
761703,gastropoda,1
597781,,6
121273,,2
173845,annelida,132
517826,cnidaria,1
422250,,13
473919,gastropoda,243
213444,,5
491482,malacostraca,12
772187,,29
122108,,2
372009,,115
904030,,95
277265,actinopterygii,1110
349711,,1
230139,,1
361735,,2
282435,actinopterygii,3
739422,gastropoda,4
577635,,1
444827,malacostraca,2
114552,,5
281049,actinopterygii,68
558048,malacostraca,4
456818,gastropoda,4
125068,,2
234406,,4
505825,,1
421107,,11
886536,,1
164917,,7
131541,annelida,68
796887,,5
346188,,14
209904,annelida,2
236473,,16
276969,actinopterygii,1285
282836,actinopterygii,13
430645,cnidaria,138
464885,gastropoda,1
417885,,17
328924,annelida,1
165041,,22
421647,malacostraca,3
241950,,3
124656,,80
208719,malacostraca,7
353138,,2
120061,malacostraca,27
445635,malacostraca,5
494666,gastropoda,2
128757,,4
506515,,5
434406,gastropoda,8
369232,annelida,1
880605,,1
536454,annelida,1
491178,gastropoda,1
1363423,,1
374105,,25
114207,,32
582061,malacostraca,1
253500,,29
273288,actinopterygii,23
488302,malacostraca,2
388104,malacostraca,3
257433,malacostraca,4
147502,,4
1038109,,2
571073,,1
517724,cnidaria,59
327996,annelida,2
209113,malacostraca,24
211876,malacostraca,6
373884,,1
178017,,3
405313,gastropoda,82
281250,actinopterygii,175
172025,,26
1359967,gastropoda,1
141479,gastropoda,1
661256,,3
460333,,11
536420,gastropoda,1
477831,malacostraca,4
232864,,7
109730,,13
399189,gastropoda,32
498749,,4
289412,cnidaria,553
366741,malacostraca,54
466200,,47
159916,annelida,2109
278741,actinopterygii,139
226751,malacostraca,2
434985,gastropoda,1
420111,gastropoda,129
290291,cnidaria,27
511703,gastropoda,34
708086,,23
290169,cnidaria,5
667614,,1
391434,,17
1040590,annelida,5
241083,malacostraca,2
411037,cnidaria,14
607989,,2
381426,,1
149415,,1
237116,malacostraca,2
896128,,1
184420,,8
239670,,1
141640,gastropoda,1
1343648,,4
118937,malacostraca,11
116270,,8
135172,cnidaria,92
462892,,1
220632,,4
121342,,1
814860,,18
932724,,9
285143,cnidaria,51
434990,gastropoda,4
505956,,44
1062742,,1
291971,cnidaria,6
730725,gastropoda,6
166089,,5
341240,,24
214345,,1
221362,malacostraca,131
572895,,2
273399,actinopterygii,12
282669,actinopterygii,12
243392,,1
531421,malacostraca,28
459127,malacostraca,2
464320,,48
829216,,1
131543,annelida,3209
417208,,24
419911,gastropoda,33
127265,actinopterygii,86
834122,malacostraca,21
360986,,1
240324,,1
121072,,44
237320,malacostraca,5
275142,actinopterygii,17
330338,annelida,2
371401,,11
488880,malacostraca,1
133978,,2
353261,,5
417400,,2
565213,gastropoda,3
117588,cnidaria,79
240611,annelida,16
197165,gastropoda,46
469253,,2
177502,,1
291602,,432
114331,,121
1046166,annelida,2
237237,malacostraca,42
210813,,215
418993,,30
1064184,gastropoda,1
243598,,8
1056988,annelida,23
827484,,2
510237,malacostraca,4
160228,gastropoda,236
827620,,14
281776,actinopterygii,108
431283,malacostraca,1
239692,,2
240810,malacostraca,141
384830,gastropoda,62
472058,,7
286243,cnidaria,9
318483,actinopterygii,21
450873,,22
166287,,6
160917,,1
219015,actinopterygii,1008
331964,annelida,2
735644,,61
241190,malacostraca,1
225715,,17
871534,,1
104892,,5
1027921,,1
880218,,4
879979,,13
591947,gastropoda,1
333269,annelida,8
165542,,14
221458,elasmobranchii,5
271376,elasmobranchii,19
136080,,56
128227,,1
195992,annelida,37
368061,malacostraca,2
274294,actinopterygii,10206
289370,cnidaria,4
417446,,3
430763,gastropoda,7
106162,,26
255583,malacostraca,104
475358,gastropoda,2
448043,gastropoda,3
352771,,1
130276,annelida,7
448195,gastropoda,1
116224,,5
410869,gastropoda,42
373012,,8
107577,malacostraca,26
172748,,412
279218,actinopterygii,133
197148,gastropoda,45
242145,,44
542155,,1
272873,actinopterygii,17
145291,,4
170544,,38
965858,,12
712596,actinopterygii,35
237069,malacostraca,6
405012,gastropoda,21
103188,malacostraca,353
744053,malacostraca,2
145773,,29
145881,,236
169597,,3
120205,malacostraca,10
126684,actinopterygii,301
1053432,malacostraca,38
593840,,2
767786,,24
1036011,,8
1308011,malacostraca,3
521636,,33
127307,actinopterygii,164
570537,,2
101884,malacostraca,32
596917,,3
418665,,2
234631,actinopterygii,1960
514235,malacostraca,3
283562,cnidaria,2
115662,,14
580131,gastropoda,1
346332,,2
534389,gastropoda,5
212187,,2
276823,actinopterygii,722
121507,,10
572181,gastropoda,9
493675,,123
1255502,malacostraca,36
457190,gastropoda,9
475418,gastropoda,7
212371,,602
471415,,3
344607,,16
275287,actinopterygii,6
290424,cnidaria,52
137334,,8
362529,,1
579148,malacostraca,32
163640,,23
819280,gastropoda,10
218744,actinopterygii,4274
218956,actinopterygii,303
636246,,5
240854,malacostraca,9
114035,,752
727556,,12
399477,gastropoda,38
258145,malacostraca,2
1048785,malacostraca,1
157024,,65
120664,,3
104582,,42
348602,,1
271784,actinopterygii,2
332331,annelida,3
121310,,1
1046383,,36
284577,cnidaria,1
109929,,24
1315997,,2
494081,gastropoda,1
283338,cnidaria,9
314341,actinopterygii,13
503705,,2
213520,,39
445063,malacostraca,1
598691,gastropoda,2
328279,annelida,7
766164,gastropoda,1
369289,annelida,6
137087,mammalia,22194
266042,,20
509736,cnidaria,26
232290,,69
395572,gastropoda,23
232515,,15
435198,gastropoda,4
144616,,1
441715,malacostraca,1
405842,gastropoda,31
137113,mammalia,504
473744,gastropoda,5
514284,malacostraca,10
283677,cnidaria,2
170252,,2
547448,,1
169146,,1
724721,cnidaria,16
762362,,2
903906,,2
567271,gastropoda,209
232132,,4
488352,malacostraca,4
1062716,,1
141574,,3
594746,,515
133613,,1
291432,,14
230509,,4
240229,,1
832437,malacostraca,1
328183,annelida,5
255537,malacostraca,2
451070,,3
140006,,3
380016,,1
221223,cnidaria,51
471869,,17
433938,gastropoda,23
505530,,5
250778,,4
1250203,malacostraca,26
344016,aves,347
623873,,1
239541,,1
421979,malacostraca,4
217976,actinopterygii,92
735558,,2
372540,,12
505262,,37
287304,cnidaria,17
665190,,40
214466,annelida,21
163739,,1
490672,gastropoda,13
417187,,10
457337,gastropoda,3
962172,,563
433426,gastropoda,4
181903,malacostraca,6
242718,,8
243383,,6
460049,,1
348572,,1
576016,gastropoda,1
390742,malacostraca,10
880409,annelida,7
369122,,3
728077,,6
123887,,36
417341,,4
158699,actinopterygii,163740
326611,annelida,6
419802,gastropoda,5
159523,actinopterygii,123
275503,actinopterygii,27
168471,,134
361598,,7
573872,,2
293382,malacostraca,2
141706,gastropoda,2
277621,actinopterygii,4
1307994,,6
626030,,5
122128,,1
167528,,2
418297,,6
371490,,2
352462,,2
409008,malacostraca,15
234906,,1
388580,malacostraca,4
284120,cnidaria,2
433824,gastropoda,113
134255,,43
816870,malacostraca,1
110718,malacostraca,450
211230,malacostraca,3
247131,malacostraca,6
103720,,54
331131,annelida,88
251521,,3
712802,actinopterygii,4
581689,gastropoda,1
102947,malacostraca,84
286146,cnidaria,51
418643,,11
961752,,280
250802,,3
355276,,4
282929,actinopterygii,4
442505,malacostraca,130
288517,cnidaria,1
283273,cnidaria,36
431864,malacostraca,1
274918,actinopterygii,11
166753,,25
127160,actinopterygii,71421
605315,,2
215433,gastropoda,44
173408,annelida,10
275050,actinopterygii,1
366676,malacostraca,50
289715,cnidaria,29
170653,,4
714116,gastropoda,3
116611,,2
373122,,9
362300,,1
477744,malacostraca,2
606977,,7
278022,actinopterygii,234
209503,malacostraca,99
549058,malacostraca,13
218051,actinopterygii,110
844322,,5
719225,gastropoda,2
376083,,83
597414,gastropoda,2
289683,cnidaria,17
172097,,1
443881,malacostraca,33
723294,cnidaria,8
474956,actinopterygii,1
516975,,15
272055,actinopterygii,58
582046,cnidaria,67
470948,,1
988690,,6
136135,malacostraca,102
163389,,2
517756,cnidaria,5
480340,,1
435236,gastropoda,1
280275,actinopterygii,4
142775,,1
326573,annelida,1
145548,,26879
423497,,1
410116,malacostraca,2
181727,malacostraca,1
166331,,1
741397,malacostraca,14
213897,,2
140059,gastropoda,89
374356,,3
413754,,1
1026387,,855
723595,,1
376143,,2
113952,,1
132490,,1
761609,annelida,1
719915,,147
529463,,1
214346,,49
263217,malacostraca,19
1335428,gastropoda,303
266690,annelida,3
591820,gastropoda,1
1263550,malacostraca,3
367807,,2
529582,,7
226752,malacostraca,11
125036,,1
367480,malacostraca,30
123776,,20699
135311,cnidaria,123
594200,gastropoda,695
461841,,32
1310427,,2
848148,,1
988073,gastropoda,14
408180,,2
918699,,170
862795,,1054
421394,,8
994381,annelida,1
166343,,84
374900,,1
148919,,5462
584283,,2
399188,gastropoda,71
1060388,gastropoda,2
243239,,147
416804,gastropoda,38
1149633,,52
219340,actinopterygii,623
515478,malacostraca,7
468169,malacostraca,3
733247,,7
880536,,1
511635,gastropoda,179
513290,,51
101171,,47
173769,annelida,23
165312,,77
382648,,33
120957,,1
124238,,7
932777,,1
233955,,17
329142,annelida,4
410994,cnidaria,3
594432,gastropoda,2
249940,,28
271373,elasmobranchii,7
420315,gastropoda,8
371779,,2
293264,malacostraca,4
558803,gastropoda,56
627848,,15
156256,malacostraca,17
255038,,1
278296,actinopterygii,3
181832,malacostraca,5
113510,,49
168836,,6
994158,,1
277365,actinopterygii,4
1299267,annelida,13
130577,annelida,913
286682,cnidaria,2
416975,,6
490588,malacostraca,46
168834,,16
288137,cnidaria,2
392446,malacostraca,4
292300,cnidaria,4
916847,,87
282406,actinopterygii,256
446289,gastropoda,7
457729,,4
287046,cnidaria,24
1347690,,1
116981,annelida,5
437650,,3
261542,malacostraca,1
513570,,1
506025,,845
129788,annelida,728
599491,gastropoda,7
730970,,20
381070,,5
428931,gastropoda,4
235867,,20
155928,,86
171959,,2
434412,gastropoda,6
271926,actinopterygii,1
434561,gastropoda,1
459896,,16
1361076,,6
511630,gastropoda,72
344688,elasmobranchii,36
550042,gastropoda,6
440007,malacostraca,4
132299,,1
367523,malacostraca,2
901022,,1
719946,,2
103557,,40
594215,gastropoda,4
107568,malacostraca,2177
581236,gastropoda,2
234284,,3
210509,malacostraca,46
213075,,213
371479,,32
283831,cnidaria,67
165682,,1
111320,,74
507982,,240
237269,malacostraca,4
515559,malacostraca,9
596612,,1
913742,,5
213811,,26
215956,,60
468442,,5
281204,actinopterygii,29
153956,,1
281092,actinopterygii,3
153429,,24
711967,,30
430769,gastropoda,4
158366,malacostraca,64
219617,actinopterygii,240
173157,,11
289271,cnidaria,51
216682,gastropoda,71
241282,malacostraca,14
720400,,18
731450,,3
282757,actinopterygii,1450
1014198,annelida,1
474997,actinopterygii,4
156257,malacostraca,16
291663,,4
468440,,4
261769,malacostraca,3
651269,,4
421396,,16
327222,annelida,1
599477,gastropoda,76
398450,actinopterygii,1
712726,actinopterygii,3
219132,actinopterygii,11
576912,,2
591466,gastropoda,1
419795,gastropoda,56
423764,annelida,2
367253,actinopterygii,26
731043,,2
355505,,40
218184,actinopterygii,1737
285486,cnidaria,2
419203,,4
243119,,11
615656,,8
614256,,3
773988,,1
417113,,10
581066,gastropoda,46
420200,gastropoda,130
272828,actinopterygii,5
275728,actinopterygii,1978
549308,malacostraca,13
145677,,306
182542,malacostraca,19
280155,actinopterygii,4
512209,malacostraca,10
124156,,369
491786,malacostraca,1
250252,,11
207370,cnidaria,742
410989,cnidaria,2
284166,cnidaria,2
518983,,7
428643,,5
711212,,15
548485,malacostraca,2
385865,,1
369247,annelida,1
367051,malacostraca,6
289346,cnidaria,224
526359,malacostraca,1
105924,elasmobranchii,389
217614,actinopterygii,15
442307,malacostraca,18
334772,annelida,83
253301,,1
341706,,1
357949,,2
432725,gastropoda,1
391991,malacostraca,4
146278,,4
273960,actinopterygii,991
332907,annelida,1
1332419,,1
257510,malacostraca,1
280222,actinopterygii,29
105866,elasmobranchii,5
574535,,11
361977,,7
114024,,484
111224,,7
555841,,4
234919,,2
237148,malacostraca,40
171701,,2
168334,,20
326989,annelida,2
421729,malacostraca,15
285250,cnidaria,7
232934,,1
423668,,29
342109,,29
167666,,2
158661,,1
467659,,9
331350,annelida,3
118152,,61
224576,gastropoda,4
118060,,4
767414,cnidaria,1
239820,,1
207224,cnidaria,28
418979,,4
1325752,annelida,1
279385,actinopterygii,4
273675,actinopterygii,167
734368,malacostraca,2
943446,annelida,1
489171,gastropoda,25
140549,gastropoda,65
1041965,cnidaria,13
259670,malacostraca,46
166685,,2
483330,,7
451449,,5
590103,malacostraca,41
478716,malacostraca,1
327337,annelida,2
141816,gastropoda,1
340818,,2
133650,,2
472427,,4
406190,gastropoda,1
287361,cnidaria,4
886581,gastropoda,2
431022,malacostraca,19
279354,actinopterygii,878
142615,,1
165168,,2
491869,malacostraca,1
708830,,6
272308,actinopterygii,16
881119,gastropoda,14
463384,,58
132991,,27
513484,,3
514416,malacostraca,32
145484,,4
219621,actinopterygii,136
550616,malacostraca,18
471038,,2
368855,,6
231018,,3
405109,,25
545454,malacostraca,1
426716,,5
133572,,2
600490,,484
461128,,10
159086,aves,7
599550,gastropoda,8
747290,gastropoda,1
840689,,306
168137,,3
504938,,158
152476,,1
393734,,1
242997,,7
135458,cnidaria,54
220648,,26
290674,cnidaria,54
280709,actinopterygii,68
434716,gastropoda,8
115930,,399
511360,gastropoda,22
331718,annelida,53
585289,gastropoda,1492
590097,annelida,1
520680,cnidaria,1
283791,cnidaria,6
118640,malacostraca,2
417161,,7
372179,,32
442104,malacostraca,102
255399,malacostraca,24
1314371,gastropoda,1
249765,,1
111234,,4
232085,,1
441635,malacostraca,4
234772,actinopterygii,871
449068,malacostraca,1
282471,elasmobranchii,16
506485,,2
139525,gastropoda,7
715988,,64
162912,,2
289504,cnidaria,5
234106,actinopterygii,3
596741,,12
134238,,2
145252,,2
288788,cnidaria,4
251310,,2
214191,,44
440940,malacostraca,6
219822,actinopterygii,457
1250427,,2
171366,,27
508744,,7
260570,malacostraca,12
720017,malacostraca,7
159626,actinopterygii,275
362002,,2
231870,annelida,172
126672,actinopterygii,60
955169,malacostraca,14
149536,,10
255813,malacostraca,4
171461,,3
169636,,26
284393,cnidaria,1
103807,,3
344480,,11
420455,gastropoda,11
273819,actinopterygii,2346
115618,,2
615645,,2
285355,cnidaria,4
238193,annelida,21
343914,aves,2
210436,malacostraca,26
876529,,1
437366,gastropoda,11
373851,,27
142681,,2
182087,malacostraca,20
605461,,2
388514,gastropoda,2
122208,,2
410971,cnidaria,3
277784,actinopterygii,10
279703,actinopterygii,19
1149638,,29
395011,,48
219355,actinopterygii,147
395777,malacostraca,1
281903,actinopterygii,1
440092,malacostraca,22
470218,,3
576700,,177
337963,annelida,7
182310,malacostraca,4
233521,,545
421550,malacostraca,9
318166,actinopterygii,22
450020,gastropoda,1
282575,actinopterygii,109
276846,actinopterygii,1319
345302,gastropoda,190
836040,,3
274796,actinopterygii,3
332459,annelida,3
161157,,7
579493,,20
149352,,3545
218551,actinopterygii,67
173390,cnidaria,12
331760,annelida,21
286811,cnidaria,17
233160,,1
219669,actinopterygii,1
473120,gastropoda,11
128804,,930
446505,gastropoda,179
419119,,10
477148,,1
390377,actinopterygii,29
1341758,gastropoda,20
419644,gastropoda,10
153425,,35
287216,cnidaria,1
492320,gastropoda,6
208642,gastropoda,94
218754,actinopterygii,4056
367580,malacostraca,1
135492,cnidaria,8
251238,,5
782949,,21
834485,,1
534354,gastropoda,2
397022,gastropoda,66
286161,cnidaria,5
726140,,18
289790,cnidaria,32
1307760,malacostraca,9
261008,malacostraca,14
292861,,7
417157,,198
281056,actinopterygii,16
263025,malacostraca,4
236541,malacostraca,108
438813,gastropoda,24
1060919,gastropoda,29
597987,gastropoda,1
217470,actinopterygii,77
736390,annelida,67
314748,actinopterygii,30
286823,cnidaria,3
398282,elasmobranchii,11
243160,,31
131201,annelida,250
527329,gastropoda,1
183142,,25
274610,actinopterygii,2
593982,,18
217795,actinopterygii,96
107707,malacostraca,74
1055161,,1
126489,actinopterygii,9038
689279,gastropoda,45
114298,,451
209139,malacostraca,71
419784,gastropoda,136
448821,,2
476549,gastropoda,6
605731,,6
255161,,2
733243,,2
256809,malacostraca,1
591282,gastropoda,16
247135,malacostraca,4
735371,,133
710079,gastropoda,9
235435,,168
170073,,4
278209,actinopterygii,4
625490,,3
588299,,4
159128,aves,48
851372,malacostraca,1
607812,gastropoda,262
274838,actinopterygii,837
170533,,1
140647,,205
444586,malacostraca,2
144682,,84
279988,actinopterygii,1
517743,cnidaria,4
466025,,140
921481,,8
174749,annelida,42
216724,gastropoda,131
282779,actinopterygii,19
1053431,malacostraca,49
506569,,5
513173,,19
240213,,2
536734,gastropoda,11
280280,actinopterygii,3
422114,malacostraca,9
388959,gastropoda,1
332985,annelida,6
535855,,7
536544,gastropoda,1
550618,malacostraca,27
599240,gastropoda,1
421996,malacostraca,196
282196,actinopterygii,102
344740,,106
280210,actinopterygii,31
281811,actinopterygii,3
1298205,,1
527642,gastropoda,16
327915,annelida,2
149682,,55
509237,gastropoda,76
209082,malacostraca,12
116472,,12
557477,malacostraca,23
428595,malacostraca,3
548451,malacostraca,5
173367,,18
235694,,11
232953,,1
272258,actinopterygii,3
743765,malacostraca,2
585888,gastropoda,37
228407,,7
419580,gastropoda,37
274473,actinopterygii,50
279768,actinopterygii,12
521769,,4
871549,,2
471433,,5
256603,malacostraca,108
247398,malacostraca,4
236136,,2
331675,annelida,4
389059,,2
122868,,5
328173,annelida,13
139970,gastropoda,39
729984,malacostraca,12
279293,,3
275207,actinopterygii,42
491172,gastropoda,2
143004,,2
183333,,4
160962,,1
548016,,128
529030,,2
438889,gastropoda,4
480836,,1
431714,malacostraca,3
451301,,5
234859,,11
1360743,cnidaria,36
422054,malacostraca,133
178387,,2
286968,cnidaria,8
103842,,43
159320,actinopterygii,5448
282668,actinopterygii,3
277650,actinopterygii,15
716897,malacostraca,7
140976,gastropoda,147
372788,,6
413067,,55
332186,annelida,90
533583,gastropoda,2
429730,,4
842795,,41
278607,actinopterygii,19
433943,gastropoda,12
130989,annelida,552
238717,,2
1030656,,13
468276,,2
122660,,2
373025,,2
513279,,47
170683,,4
392149,malacostraca,15
107300,malacostraca,18
219405,actinopterygii,17
277999,actinopterygii,10
235920,,16
373004,,3
819906,,3
392058,malacostraca,1
332305,annelida,5
135067,,23
272312,actinopterygii,107
548829,malacostraca,7
548159,,3
421068,annelida,1
160976,,2
276272,actinopterygii,68
219344,actinopterygii,22
398684,actinopterygii,4
272153,actinopterygii,31
217000,gastropoda,47
290397,cnidaria,1
118713,malacostraca,1
417144,,24
417843,,8
932877,,44
900790,,2
433831,gastropoda,12
598613,gastropoda,13
870964,gastropoda,24
126772,actinopterygii,47
597962,gastropoda,1
251206,,2
274565,actinopterygii,3
126668,actinopterygii,15
850105,gastropoda,31
555047,malacostraca,1
176594,,10
383231,,2
361908,,1
419512,gastropoda,282
562379,,2
165691,,4
450002,gastropoda,289
426584,,2
170598,,12
842709,,1
429626,,1
117948,cnidaria,11
392298,malacostraca,4
598459,gastropoda,4
159181,actinopterygii,46
382640,,1
126612,actinopterygii,1847
130292,annelida,294
152478,,1
212891,gastropoda,76
145232,,25
220695,malacostraca,10
907656,,14
1326716,,1
438714,gastropoda,8
276186,actinopterygii,50
376576,,1
736899,,2
484655,,1
395707,,1
282071,actinopterygii,12
595233,gastropoda,1
295864,,8
173025,,7
371575,,2
210588,malacostraca,81
515440,malacostraca,190
275078,actinopterygii,17
367591,malacostraca,4
174871,malacostraca,2
182042,malacostraca,14
848087,,11
428172,gastropoda,6
273281,actinopterygii,10
117944,cnidaria,1
130157,annelida,247
747070,,1
109872,,1708
419755,gastropoda,8
734812,,22
575628,gastropoda,2
345419,,18
211735,,62
471727,,3
659296,,1
120831,,25
442349,malacostraca,107
282661,actinopterygii,5
625974,,109
513353,,1
272020,actinopterygii,3
159685,,12
421782,malacostraca,18
275031,actinopterygii,27
175116,malacostraca,2
276417,actinopterygii,242
1036464,,1
225043,gastropoda,17
163560,,6
122140,,1
236961,malacostraca,88
170796,,1
446543,gastropoda,100
711292,,2
560041,gastropoda,3
506059,,2
375067,,3
291566,,40
527224,gastropoda,79
237759,malacostraca,5
722478,gastropoda,11
288633,cnidaria,2
235761,,638
207447,cnidaria,694
832808,gastropoda,1
225947,aves,5827
342723,,17
366698,malacostraca,20
277747,actinopterygii,254
157164,,2
407865,gastropoda,2
397096,,44
130430,annelida,4
1306971,annelida,1
104293,,390
507149,,20
333454,annelida,1
988323,,3645
182147,malacostraca,90
735525,,166
210506,malacostraca,122
417715,,4
290011,cnidaria,18
209867,annelida,13
